datatype,count1,aveRelDiff1,count2,aveRelDiff2,count3,aveRelDiff3,desGenDiff
Mean score:Explorer>Onestep-S,13 (of 13),0.717,78 (of 90),0.494,43 (of 66),0.240,0.477
Mean score:Explorer>Random,13 (of 13),0.848,81 (of 90),0.651,43 (of 66),0.334,0.514
Mean score:Explorer>Do Nothing,13 (of 13),1.000,82 (of 90),0.823,45 (of 66),0.404,0.596
Mean score:DeepSearch>Onestep-S,13 (of 13),0.736,73 (of 90),0.474,35 (of 66),0.214,0.522
Mean score:DeepSearch>Random,13 (of 13),0.864,81 (of 90),0.659,41 (of 66),0.307,0.557
Mean score:DeepSearch>Do Nothing,13 (of 13),1.000,83 (of 90),0.821,42 (of 66),0.375,0.625
Winrate:Explorer>Onestep-S,11 (of 13),0.675,36 (of 90),0.282,4 (of 66),0.035,0.640
Winrate:Explorer>Random,11 (of 13),0.756,39 (of 90),0.327,5 (of 66),0.033,0.723
Winrate:Explorer>Do Nothing,11 (of 13),0.846,36 (of 90),0.349,6 (of 66),0.086,0.760
Winrate:DeepSearch>Onestep-S,12 (of 13),0.762,35 (of 90),0.299,3 (of 66),0.029,0.733
Winrate:DeepSearch>Random,12 (of 13),0.846,39 (of 90),0.350,5 (of 66),0.026,0.820
Winrate:DeepSearch>Do Nothing,12 (of 13),0.923,35 (of 90),0.345,6 (of 66),0.081,0.842
Mean tick:Explorer>Onestep-S,8 (of 13),0.197,39 (of 90),0.026,0 (of 66),-0.076,0.273
Mean tick:Explorer>Random,9 (of 13),0.439,56 (of 90),0.280,1 (of 66),-0.084,0.523
Mean tick:Explorer>Do Nothing,7 (of 13),0.082,34 (of 90),0.015,2 (of 66),-0.072,0.153
Mean tick:DeepSearch>Onestep-S,8 (of 13),0.251,42 (of 90),0.098,1 (of 66),-0.083,0.334
Mean tick:DeepSearch>Random,10 (of 13),0.504,59 (of 90),0.328,2 (of 66),-0.086,0.589
Mean tick:DeepSearch>Do Nothing,6 (of 13),0.160,35 (of 90),0.082,2 (of 66),-0.075,0.234
